[DEBUG] 2018-02-12 17:20:28.031 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@57a3e26a
[DEBUG] 2018-02-12 17:20:28.031 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@57a3e26a
[DEBUG] 2018-02-12 17:20:28.031 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3b5fad2d
[DEBUG] 2018-02-12 17:20:28.031 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@74f6c5d8
[DEBUG] 2018-02-12 17:20:28.031 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4bbf6d0e
[DEBUG] 2018-02-12 17:20:28.031 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4bbf6d0e
[DEBUG] 2018-02-12 17:20:28.051 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@13bc8645
[DEBUG] 2018-02-12 17:20:28.051 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@13bc8645
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@5f20155b
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5f20155b
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@7d94beb9
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@7d94beb9
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@4d6025c5
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@4d6025c5
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4f4c4b1a
